X-Coordinates	Y-Coordinates
788.33183	86.80932
738.96911	114.48607
632.03884	273.57944
829.51168	320.7236
799.6566	82.17476
703.62555	297.08177
702.16276	287.16478
616.36006	280.5137
758.31321	117.43228
659.86164	473.84395
689.20159	240.0524
745.64105	192.98399
770.36062	170.09158
588.62563	298.13409
887.7937	340.33047
659.51392	479.80329
778.22021	-16.97351
799.81665	71.22501
655.01502	147.73331
746.49861	302.7625
678.34108	268.81489
685.52161	457.4278
661.85652	256.58754
815.98405	200.54903
764.20729	479.80226
667.80065	397.59736
794.55222	43.54893
713.93716	301.43355
700.95929	306.92778
654.1179	472.19152
671.00723	253.02058
674.63676	467.06608
589.35895	291.91019
603.32902	272.55926
713.75871	253.30225
675.75181	180.27475
800.39005	59.5301
789.42623	-17.25779
720.65778	509.89067
743.0355	485.81428
660.4374	242.61288
667.73212	251.95954
658.59391	270.06661
599.79618	298.56387
775.39471	-21.29758
656.82664	261.07176
765.76675	102.48307
694.9478	312.18393
