Barcodes	group	x
Lsk.44	HSCP-2	2
Lsk.39	HSCP-2	2
Lsk.27	HSCP-2	2
Lsk.70	HSCP-2	2
Lsk.42	HSCP-2	2
Lsk.96	HSCP-2	2
Lsk.94	HSCP-2	2
Lsk.53	HSCP-2	2
Lsk.10	HSCP-2	2
Lsk.46	HSCP-2	2
Lsk.30	HSCP-2	2
Lsk.74	HSCP-2	2
Lsk.54	HSCP-2	2
Lsk.58	HSCP-2	2
Lsk.52	HSCP-2	2
Lsk.79	HSCP-2	2
Lsk.36	HSCP-2	2
Lsk.59	HSCP-2	2
Cmp.49	HSCP-2	2
Cmp.66	HSCP-2	2
Lsk.1	HSCP-2	2
Cmp.77	HSCP-2	2
Cmp.11	HSCP-2	2
Cmp.9	HSCP-2	2
Cmp.26	HSCP-2	2
Cmp.30	HSCP-2	2
Cmp.57	HSCP-2	2
Cmp.94	HSCP-2	2
Cmp.27	HSCP-2	2
LK.CD34..16	HSCP-2	2
Cmp.4	HSCP-2	2
Cmp.63	HSCP-2	2
Cmp.95	HSCP-2	2
Lsk.32	HSCP-2	2
Cmp.8	HSCP-2	2
Cmp.92	Meg	3
Cmp.21	Meg	3
Cmp.20	Meg	3
Cmp.39	Meg	3
Cmp.34	Meg	3
Gmp.R2.54	Meg	3
Gmp.R2.56	Meg	3
LK.CD34..65	Meg	3
LK.CD34..66	Meg	3
Cmp.19	Meg	3
Cmp.5	Meg	3
Cmp.58	Meg	3
Cmp.65	Meg	3
Cmp.86	Meg	3
Cmp.24	Meg	3
Cmp.75	Meg	3
Cmp.81	Meg	3
Cmp.82	Meg	3
Cmp.15	Eryth	4
Cmp.80	Eryth	4
LK.CD34..31	Eryth	4
Cmp.25	Eryth	4
Cmp.90	Eryth	4
Cmp.22	Eryth	4
Cmp.46	Eryth	4
LK.CD34..60	Eryth	4
Cmp.55	Eryth	4
Cmp.18	Eryth	4
Cmp.59	Eryth	4
Cmp.31	Eryth	4
Cmp.14	Eryth	4
Gmp.R2.55	Multi-Lin*	5
Gmp.R2.11	Multi-Lin*	5
Gmp.R2.6	Multi-Lin*	5
Gmp.R3.27	Multi-Lin*	5
Cmp.85	Multi-Lin*	5
Gmp.R2.41	Multi-Lin*	5
Cmp.38	Multi-Lin*	5
Cmp.69	Multi-Lin*	5
Gmp.R3.59	Multi-Lin*	5
Cmp.50	Multi-Lin*	5
Cmp.54	Multi-Lin*	5
Gmp.R2.27	Multi-Lin*	5
Gmp.R2.21	Multi-Lin*	5
LK.CD34..46	Multi-Lin*	5
